date,portfolio_value
2021-01-04,1000000.0
2021-01-05,1010865.8131758318
2021-01-06,1006874.8136269309
2021-01-07,1038475.3282299426
2021-01-08,1050639.80904252
2021-01-11,1036135.0426680901
2021-01-12,1039270.9464219294
2021-01-13,1045499.0964600841
2021-01-14,1038163.8822555292
2021-01-15,1025017.6224252167
2021-01-19,1040572.7162756412
2021-01-20,1062858.4691833286
2021-01-21,1070431.3556693692
2021-01-22,1067653.4261812668
2021-01-25,1075423.3967654482
2021-01-26,1074590.0551578098
2021-01-27,1048559.1638499128
2021-01-28,1049043.6385874085
2021-01-29,1025306.348582586
2021-02-01,1049288.1021078818
2021-02-02,1067651.5134073347
2021-02-03,1076882.523618758
2021-02-04,1081914.848084226
2021-02-05,1087034.4998854515
2021-02-08,1100401.697120176
2021-02-09,1096621.5082980162
2021-02-10,1096716.5255830607
2021-02-11,1097200.3574267514
2021-02-12,1098781.6750405992
2021-02-16,1103921.9163872509
2021-02-17,1104162.159212582
2021-02-18,1098155.8893319587
2021-02-19,1092243.6030014805
2021-02-22,1074856.4513606792
2021-02-23,1076562.0569458597
2021-02-24,1092031.2324526075
2021-02-25,1053172.2236111406
2021-02-26,1054025.6145251475
2021-03-01,1083512.9390212884
2021-03-02,1067007.7174711777
2021-03-03,1048290.5527294565
2021-03-04,1043777.5691624309
2021-03-05,1060863.321147514
2021-03-08,1035883.8146273032
2021-03-09,1071353.4051152477
2021-03-10,1074466.3599416183
2021-03-11,1094544.8437849993
2021-03-12,1089893.6820116562
2021-03-15,1093147.1185670956
2021-03-16,1091875.3525691428
2021-03-17,1098982.7847653122
2021-03-18,1071109.7897155064
2021-03-19,1075988.8603880636
2021-03-22,1084115.3998322159
2021-03-23,1080176.1597236306
2021-03-24,1068697.6793274847
2021-03-25,1066956.9602348208
2021-03-26,1077345.3742113411
2021-03-29,1079645.217856032
2021-03-30,1076152.2533183622
2021-03-31,1088000.0703397882
2021-04-01,1105480.1601440334
2021-04-05,1126578.528646225
2021-04-06,1120809.964337994
2021-04-07,1131287.7852307137
2021-04-08,1137566.5761972505
2021-04-09,1147654.1938069158
2021-04-12,1153107.7632282285
2021-04-13,1167681.4682598352
2021-04-14,1153838.621526181
2021-04-15,1174904.8881375273
2021-04-16,1173922.0144450297
2021-04-19,1162659.8120852143
2021-04-20,1154887.0563097217
2021-04-21,1164941.658984195
2021-04-22,1144932.6143532367
2021-04-23,1162650.6322603084
2021-04-26,1168689.9947372933
2021-04-27,1164626.40751728
2021-04-28,1169894.7665956938
2021-04-29,1183958.4743631356
2021-04-30,1174173.680584863
2021-05-03,1171657.0663825325
2021-05-04,1159065.8170502777
2021-05-05,1163363.4281386551
2021-05-06,1174585.3458092422
2021-05-07,1183194.3139429293
2021-05-10,1157799.7128579332
2021-05-11,1145647.9542476705
2021-05-12,1122282.217870894
2021-05-13,1127948.496703502
2021-05-14,1153897.539380347
2021-05-17,1154903.2117063287
2021-05-18,1141321.7097335653
2021-05-19,1136883.3194782159
2021-05-20,1151429.675042204
2021-05-21,1150955.4177138128
2021-05-24,1173616.401717956
2021-05-25,1171536.5548717626
2021-05-26,1176643.0907200247
2021-05-27,1175117.2706315038
2021-05-28,1176929.7130588286
2021-06-01,1182172.9654329172
2021-06-02,1184904.1079644368
2021-06-03,1177356.9170957624
2021-06-04,1194848.6901602685
2021-06-07,1196788.6878302786
2021-06-08,1198774.8675413583
2021-06-09,1197426.5284896735
2021-06-10,1203246.2358508976
2021-06-11,1204145.389249087
2021-06-14,1212261.7305253698
2021-06-15,1209433.270566958
2021-06-16,1207882.8431647806
2021-06-17,1215467.2770415596
2021-06-18,1201098.340135402
2021-06-21,1213935.9828535067
2021-06-22,1228175.1048673627
2021-06-23,1234943.399406623
2021-06-24,1242087.5566322003
2021-06-25,1239845.7559145438
2021-06-28,1254222.6255810088
2021-06-29,1252231.6314788617
2021-06-30,1253087.1492711147
2021-07-01,1260644.1285025976
2021-07-02,1274519.6924411796
2021-07-06,1274287.5972070675
2021-07-07,1271066.8109217184
2021-07-08,1260744.180969772
2021-07-09,1273313.8969561246
2021-07-12,1285492.2947014633
2021-07-13,1280541.4849543155
2021-07-14,1273408.4090217093
2021-07-15,1261319.9972769227
2021-07-16,1242450.728083105
2021-07-19,1225610.8333664532
2021-07-20,1239465.8394616796
2021-07-21,1256353.9381008465
2021-07-22,1261864.6318477527
2021-07-23,1276747.4205007812
2021-07-26,1283460.1774159288
2021-07-27,1270329.7409187166
2021-07-28,1277826.5477575983
2021-07-29,1280615.2276041158
2021-07-30,1265314.5292459691
2021-08-02,1269152.9712622701
2021-08-03,1278629.842068033
2021-08-04,1278783.248458041
2021-08-05,1286472.268086512
2021-08-06,1286632.2681838227
2021-08-09,1285093.7960830943
2021-08-10,1283880.359971902
2021-08-11,1281064.8768856584
2021-08-12,1290373.1192309207
2021-08-13,1292058.5014897685
2021-08-16,1289687.2177464268
2021-08-17,1273795.1668858738
2021-08-18,1260799.9332785862
2021-08-19,1265039.7982670728
2021-08-20,1283300.0445063731
2021-08-23,1309297.2297313875
2021-08-24,1312157.9597924743
2021-08-25,1318110.395869368
2021-08-26,1309884.5993535253
2021-08-27,1328178.5717961425
2021-08-30,1338613.9941316
2021-08-31,1333794.6292387128
2021-09-01,1334586.196028815
2021-09-02,1335068.641674869
2021-09-03,1338938.6322843868
2021-09-07,1343927.6667272372
2021-09-08,1334969.0172854222
2021-09-09,1330798.608852587
2021-09-10,1318157.617451138
2021-09-13,1326735.669141585
2021-09-14,1323013.9996258768
2021-09-15,1337345.1552301804
2021-09-16,1334100.9232836652
2021-09-17,1319038.8775763456
2021-09-20,1285213.2702599477
2021-09-21,1288533.0612147048
2021-09-22,1301752.313363126
2021-09-23,1319351.113522949
2021-09-24,1325684.2857393222
2021-09-27,1326467.702186274
2021-09-28,1294844.579174521
2021-09-29,1292654.0807733983
2021-09-30,1282706.669527746
2021-10-01,1300293.2219854228
2021-10-04,1275722.2592123917
2021-10-05,1295254.3204918397
2021-10-06,1301157.5627783334
2021-10-07,1313184.543937943
2021-10-08,1315461.2867094455
2021-10-11,1305418.4625990666
2021-10-12,1299685.4438656983
2021-10-13,1302453.5949087034
2021-10-14,1330122.6814590443
2021-10-15,1344458.8801373465
2021-10-18,1359297.677319976
2021-10-19,1367294.4525716407
2021-10-20,1369595.478389014
2021-10-21,1378905.4978110336
2021-10-22,1370344.667259798
2021-10-25,1392388.5071596578
2021-10-26,1409527.4051619428
