date,AAPL,MSFT,NVDA,JPM,XOM,AMZN,META,GOOGL,TSLA,UNH
2021-01-05,,,,,,,,,,
2021-01-06,,,,,,,,,,
2021-01-07,,,,,,,,,,
2021-01-08,,,,,,,,,,
2021-01-11,,,,,,,,,,
2021-01-12,,,,,,,,,,
2021-01-13,,,,,,,,,,
2021-01-14,,,,,,,,,,
2021-01-15,,,,,,,,,,
2021-01-19,,,,,,,,,,
2021-01-20,,,,,,,,,,
2021-01-21,,,,,,,,,,
2021-01-22,,,,,,,,,,
2021-01-25,,,,,,,,,,
2021-01-26,,,,,,,,,,
2021-01-27,,,,,,,,,,
2021-01-28,,,,,,,,,,
2021-01-29,,,,,,,,,,
2021-02-01,,,,,,,,,,
2021-02-02,,,,,,,,,,
2021-02-03,0.02261596361574654,0.017729547540006357,0.02699620747692073,0.017466525861207036,0.024279764625951102,0.018905701862788882,0.023079309381793527,0.024129999255800973,0.04009787307413471,0.015432283299410767
2021-02-04,0.02310208661560767,0.017824313973888964,0.026663904689466514,0.01796852919783056,0.023197557172951425,0.018835645266490474,0.023007776727382835,0.024229530338536576,0.04019883692867181,0.016114710737931817
2021-02-05,0.021591827325214433,0.016369615263309205,0.022703442244726528,0.016107309089238655,0.02359164049519178,0.017817810630856006,0.02213469373187293,0.02399872227145685,0.039913819993458326,0.012898721416510174
2021-02-08,0.020484814389472757,0.015616269184134269,0.023214370370884727,0.014914779611179155,0.024789489203730235,0.01797045990006739,0.02171052285001905,0.02359393844453451,0.0365515296311183,0.012047335268961488
2021-02-09,0.020515947060789002,0.015614580127329575,0.023402570766292787,0.014962685316050514,0.025106054419937313,0.018021592353369406,0.021821253581780293,0.023668819957394966,0.032696151683104094,0.012955018342145566
2021-02-10,0.01976418500824015,0.01538977943501113,0.0238996142155511,0.014635387059214262,0.024524359556540948,0.017296017048161187,0.019718647820267984,0.022697532104395225,0.029764500607235712,0.013396903572069007
2021-02-11,0.01976954184038444,0.014884392347308163,0.02445492636204528,0.014234930141394743,0.025060460999359133,0.017434331527662134,0.0189558751989496,0.022368279689201114,0.027903063482131965,0.013344993981919283
2021-02-12,0.019517243917303993,0.014910625164237488,0.02505699482414001,0.014579692996538392,0.02510487303612553,0.01722254736854075,0.018966147457546666,0.02238906797029702,0.027898094458083753,0.01355577713674569
2021-02-16,0.01956141218273009,0.014334670885409672,0.024443938687692218,0.015422187071916723,0.024560409867247196,0.016962549783346253,0.01796634191388237,0.02204190053465982,0.028270621252385116,0.01350417425334432
2021-02-17,0.01973689368028101,0.014222813177573278,0.024577239179690905,0.014780003395125092,0.02203801269356269,0.016947376940200536,0.017541359893914005,0.021941550739258738,0.02792285105386367,0.013643560751800428
2021-02-18,0.019834159988104283,0.014102867245062226,0.024679122786191256,0.014705881545992998,0.022251101282991587,0.016951887906803353,0.016187359555205554,0.02148016881562343,0.02749208594965038,0.013699979282390744
2021-02-19,0.01847419198512885,0.012785086919606897,0.02426762117656475,0.014426822702744995,0.02213860751614468,0.01502345395630916,0.01665910965436214,0.019032391619340977,0.027403824137066306,0.01382236615898385
2021-02-22,0.01752317517326641,0.014435518393835875,0.024964081209056143,0.014178204346684832,0.0219346197418758,0.015377289332335328,0.01595802608110373,0.019567757337434415,0.03314257857721785,0.013697017408645236
2021-02-23,0.016944516200239606,0.014513338850193217,0.0250744146365441,0.013890124959996142,0.021457489709540225,0.015421981872656698,0.016667652519981712,0.019565998577138415,0.033198674868785395,0.013239589268946736
2021-02-24,0.015284901529301525,0.014184371201393741,0.02554466713249853,0.013460901209337692,0.021491968489297172,0.015553364552607654,0.016364681990950283,0.01963945801735892,0.03494701300843108,0.01342902589311384
2021-02-25,0.01643109522996323,0.014954377987474538,0.03068711959885399,0.014008543810980259,0.021113898824839952,0.01669265024528459,0.017533302177402697,0.02118756965121222,0.03854053036041135,0.013301288981332498
2021-02-26,0.016580551294026802,0.01531289639707943,0.029976709854281507,0.013785988348925958,0.022012948967773897,0.016031261460801804,0.016359216577637167,0.01789235121499159,0.03848284279549487,0.011895749131205462
2021-03-01,0.018554612209616166,0.014852949560484956,0.02996559437304586,0.014018172181456835,0.022778557819260595,0.016556429584665137,0.016684486027005178,0.018109616983308537,0.041277499065124616,0.01149332253536051
2021-03-02,0.017307566709650224,0.01360568438192504,0.030902782073906985,0.013610491714941926,0.021488802911493403,0.01679294780659794,0.01647170047920807,0.01769224717805945,0.04097984835156982,0.011093809449660387
2021-03-03,0.0173380507288691,0.012797301328072538,0.032328493291698596,0.013853660203879833,0.021392896250265317,0.014626018910211173,0.016417087223402745,0.017491749567738923,0.03926276719269203,0.01115330645172776
2021-03-04,0.017297612685403675,0.012793590837651948,0.03257950836929997,0.013747938293678683,0.02214487658363477,0.014170339431299086,0.015918524755940223,0.017416073956852757,0.03830497083941405,0.010698960861312641
2021-03-05,0.0176660191360877,0.013318501507332303,0.032670761309895165,0.013702282023302538,0.02206749203341509,0.014083830594325898,0.01698637717393011,0.014702304748625536,0.03860552082797113,0.01375364457582244
2021-03-08,0.01802019249345457,0.013776248863604353,0.035759061982831776,0.01324221019664354,0.022210575185135813,0.014094489157728088,0.018545980393274753,0.01762604239085937,0.03962364302343506,0.01236077897823534
2021-03-09,0.020856755838201575,0.015301175559903455,0.04025694417409236,0.01341931084016279,0.02241123929321682,0.01673351156432364,0.02065154416013429,0.017587858586244207,0.04656363831918818,0.011685270884703246
2021-03-10,0.02079560356122412,0.01531523003222079,0.03749823198588094,0.013723219064438893,0.021809985852277447,0.016710385089106636,0.020626732535136496,0.017587806096403175,0.04614620162943703,0.011881182296518149
2021-03-11,0.02140038652509862,0.01598565029095727,0.0388834443842007,0.013765427209160457,0.02162520256831544,0.017384520804366768,0.02178901360378777,0.018913930722723172,0.04811455991642877,0.011626063261871024
2021-03-12,0.021402971099165648,0.01600750340294498,0.03788301020066918,0.01381151060186101,0.021627763881623695,0.017408262736634803,0.022168216120835027,0.01963616252925617,0.047207886800716616,0.01164066616574617
2021-03-15,0.022375732292417967,0.01590601849517998,0.03756993811111276,0.013884675936485416,0.021665374676275904,0.01737744576434553,0.022570929511826838,0.019642846663069,0.047522603930020224,0.011784452222820558
2021-03-16,0.02265485115841173,0.016184356427881606,0.0375704523207741,0.014215140946260498,0.02263228027942988,0.017348827952383718,0.022964568370688256,0.019902395052351533,0.04793969100640688,0.01107554348550691
2021-03-17,0.022492224473742023,0.016163223767622976,0.03702519920639716,0.013563078141714102,0.022059295140350692,0.017735270254643436,0.02308021035979774,0.019823958107252966,0.04902389362909005,0.010825383096020528
2021-03-18,0.023299563215897726,0.01704931996054754,0.037833434481619445,0.013858393893598797,0.024509944359352664,0.018809384530390525,0.023520909514800056,0.02077243411770503,0.05072553028883569,0.01198285307174091
2021-03-19,0.023279036199512448,0.01704955508377835,0.03800869800516011,0.014530636305427594,0.02420856497681715,0.019175202812581518,0.024713483134252857,0.02078059664209548,0.05084913562289479,0.012025521401834592
2021-03-22,0.024297852874426512,0.01788278191334761,0.03857901688012467,0.015596230862972179,0.024395189100201328,0.01887939743665879,0.023570212547300344,0.020743404541356918,0.051437324370744275,0.011391217695694037
2021-03-23,0.02350628689008908,0.01690449832383938,0.037821909091036415,0.01564779191824385,0.023385099980638997,0.018467136394102756,0.023711269955402996,0.020482826673860224,0.04824310844170277,0.011368734236645025
